استوګن	non_verb	n. m. unisex / adj.
استوګنځی	non_verb	n. m.
استوګنه	non_verb	n. f.
استوګه	non_verb	n. f.
استول	regular_simple	v. trans.
استیظاح	non_verb	n. m.
استیناف	non_verb	n. m.
اسحاق	non_verb	name
اسرار	non_verb	n. m.
اسرار	non_verb	n. m.
اسرار کول	dynamic_compound	v. dyn. comp. trans.
اسراف	non_verb	n. m.
اسراف کول	dynamic_compound	v. stat. comp. trans.
اسف	non_verb	n. m.
اسفناک	non_verb	adj.
اسفنج	non_verb	n. m.
اسقاط	non_verb	n. m.
اسکلېت	non_verb	n. m.
اسکلیټ	non_verb	n. m.
اسکېرلی	non_verb	adj.
اسکېرنه	non_verb	n. f.
اسلام	non_verb	n. m.
اسلام اباد	non_verb	n. m.
اسلام ډاروونکی	non_verb	adj. / n. m. anim. unisex
اسلامپال	non_verb	adj. / n. m. anim. unisex
اسلامي	non_verb	adj.
اسم	non_verb	n. m.
اسم اشاره	non_verb	n. f.
اسمان	non_verb	n. m.
اسمان څکالکی	non_verb	n. m. anim.
اسمان لار	non_verb	n. f.
اسمبلي	non_verb	n. f.
اسهال	non_verb	n. m.
اسهامي	non_verb	adj.
اسوېلی	non_verb	n. m.
اسوېلي	non_verb	n. m. pl.
اسوېلي اوښکل	non_verb	
اسوېلی کول	dynamic_compound	v. dyn. comp. trans.
اسوېلي کول	dynamic_compound	v. dyn. comp. trans.
اسیا	non_verb	n. f.
اسیایي	non_verb	adj.
اسید	non_verb	n. m.
اسیر	non_verb	n. m.
اسیر کېدل	stative_compound_special	v. stat. comp. intrans.
اشا	non_verb	n. f.
اشاره	non_verb	n. f.
اشاره کول	dynamic_compound	v. dyn. comp. trans.
اشاره یي ژبه	non_verb	n. f.
اشاري	non_verb	adj.
اشاریه	non_verb	n. f.
اشباع	non_verb	n. f.
اشباع کول	dynamic_compound	v. stat. comp. trans.
اشپزي	non_verb	n. f.
اشتباه	non_verb	n. f.
اشتراک	non_verb	n. m.
اشتراکات	non_verb	n. m. pl.
اشتغ	non_verb	n. m.
اشتغال	non_verb	n. m.
اشتقاق	non_verb	n. m.
اشتها	non_verb	n. f.
اشتهار	non_verb	n. m.
اشتهار ورکول	regular_simple	v. dyn. comp. trans.
اشتهاري	non_verb	n. m. anim. unisex / adj.
اشتیا	non_verb	n. f.
اشتیاق	non_verb	n. m.
اشر	non_verb	n. m.
اشراف	non_verb	n. m. pl.
اشرافیه	non_verb	n. f.
اشرف المخلوقات	non_verb	n. m.
اشغال	non_verb	n. m.
اشغال کول	dynamic_compound	v. stat. comp. trans.
اشکال	non_verb	n. m.
اشنا	non_verb	adj. / n. m.
اشنا کول	dynamic_compound	v. stat. comp. trans.
اشنا کېدل	stative_compound_special	v. stat. comp. intrans.
اشنایي	non_verb	adj.
اشواګر	non_verb	n. m.
اصابت	non_verb	n. m.
اصحاب	non_verb	n. m. pl.
اصرار	non_verb	n. m.
اصرار کول	dynamic_compound	v. dyn. comp. trans.
اصطکاک	non_verb	n. m.
اصطلاح	non_verb	n. m.
اصطلاحي	non_verb	n. f.
اصفهان	non_verb	n. m.
اصل	non_verb	n. m. / adj.
اصل کې	regular_simple	adv.
اصلاً	regular_simple	adv.
اصلاح	non_verb	n. m.
اصلاح کول	dynamic_compound	v. stat. comp. trans.
اصلاح کېدل	stative_compound_special	v. stat. comp. intrans.
اصلاحي	non_verb	adj.
اصلحه	non_verb	n. f.
اصلي	non_verb	adj.
اصول	non_verb	n. m. pl.
اصولي	non_verb	adj.
اصیل	non_verb	adj.
اضافه	non_verb	n. f.
اضافه کول	dynamic_compound	v. stat. comp. trans.
اضافي	non_verb	adj.
اضحلال	non_verb	n. m.
اضحیٰ	non_verb	n. f.
اضطراب	non_verb	n. m.
اضطراب	non_verb	n. m.
اضطرابي	non_verb	adj.
اضطرار	non_verb	n. m.
اطاعت	non_verb	n. m.
اطام	non_verb	n. m.
اطراف	non_verb	n. m. pl.
اطفایه	non_verb	n. f.
اطلاع	non_verb	n. f.
اطلاع ورکول	regular_simple	v. dyn. comp. trans.
اطلاعیه	non_verb	n. f.
اطلاق	non_verb	n. m.
اطلاقول	regular_simple	v. stat. comp. trans.
اطمنان	non_verb	n. m.
اطمنان کول	dynamic_compound	v. dyn. comp. trans.
اطمینان	non_verb	n. m.
اطمینان کول	dynamic_compound	v. dyn. comp. trans.
اظهار	non_verb	n. m.
اظهارول	regular_simple	v. stat. comp. trans.
اظهارېدل	stative_compound_standard	v. stat. comp. intrans.
اعاده	non_verb	n. f.
اعتبار	non_verb	n. m.
اعتبار کول	dynamic_compound	v. dyn. comp. trans.
اعتباري	non_verb	adj.
اعتدال	non_verb	n. m.
اعتراض	non_verb	n. m.
اعتراف	non_verb	n. m.
اعتراف کول	dynamic_compound	v. stat. comp. trans.
اعتصاب	non_verb	n. m.
اعتصاب شکن	non_verb	n. m.
اعتقاد	non_verb	n. m.
اعتقادي	non_verb	adj.
اعتکاف	non_verb	n. m.
اعتماد	non_verb	n. m.
اعتیاد	non_verb	n. m.
اعداد	non_verb	n. m. pl.
اعدام	non_verb	n. m.
اعدامول	regular_simple	v. stat. comp. trans.
اعدامېدل	stative_compound_standard	v. stat. comp. intrans.
اعزاز	non_verb	n. m.
اعشاریه	non_verb	n. f.
اعظم	non_verb	adj.
اعلام	non_verb	n. m.
اعلامول	regular_simple	v. stat. comp. trans.
اعلامېدل	stative_compound_standard	v. stat. comp. intrans.
اعلامیه	non_verb	n. f.
اعلان	non_verb	n. m.
اعلان کول	dynamic_compound	v. dyn. comp. trans.
اعلانول	regular_simple	v. stat. comp. trans.
اعلانېدل	stative_compound_standard	v. stat. comp. intrans.
